Orthogroup	Amanita_muscaria	Arabidopsis_thaliana	Canis_lupus	Dyctiostelium_discoideum	Paramecium_tetraurelia	Phytophthora_infestans	Total
OG0000156	0	0	47	0	0	0	47
OG0000157	0	0	47	0	0	0	47
OG0000158	0	0	47	0	0	0	47
OG0000159	0	0	0	0	0	47	47
OG0000160	2	20	16	1	6	1	46
OG0000161	6	20	11	2	4	3	46
OG0000162	0	3	18	6	15	4	46
OG0000163	0	3	11	5	3	24	46
OG0000164	0	0	46	0	0	0	46
OG0000165	0	0	46	0	0	0	46
OG0000166	0	0	46	0	0	0	46
OG0000167	0	0	46	0	0	0	46
OG0000168	6	0	34	0	5	0	45
OG0000169	3	27	11	4	0	0	45
OG0000170	2	19	11	2	7	4	45
OG0000171	8	16	8	7	2	4	45
OG0000172	1	15	0	0	5	24	45
OG0000173	1	44	0	0	0	0	45
OG0000174	3	5	21	4	7	5	45
OG0000175	0	0	45	0	0	0	45
OG0000176	0	0	43	0	0	2	45
OG0000177	0	0	45	0	0	0	45
OG0000178	0	0	45	0	0	0	45
OG0000179	0	0	45	0	0	0	45
OG0000180	0	0	45	0	0	0	45
OG0000181	0	0	0	45	0	0	45
OG0000182	2	20	14	1	5	2	44
OG0000183	4	3	16	1	0	20	44
OG0000184	0	44	0	0	0	0	44
OG0000185	0	44	0	0	0	0	44
OG0000186	0	44	0	0	0	0	44
OG0000187	0	44	0	0	0	0	44
OG0000188	0	0	44	0	0	0	44
OG0000189	0	0	44	0	0	0	44
OG0000190	0	0	44	0	0	0	44
OG0000191	0	0	0	0	44	0	44
OG0000192	43	0	0	0	0	0	43
OG0000193	3	5	11	6	8	10	43
OG0000194	6	8	15	6	2	6	43
OG0000195	3	28	0	3	0	9	43
OG0000196	1	21	11	3	3	4	43
OG0000197	1	24	12	1	3	2	43
OG0000198	0	43	0	0	0	0	43
OG0000199	0	43	0	0	0	0	43
OG0000200	0	43	0	0	0	0	43
OG0000201	0	43	0	0	0	0	43
OG0000202	0	43	0	0	0	0	43
OG0000203	0	43	0	0	0	0	43
OG0000204	0	0	43	0	0	0	43
OG0000205	0	0	0	0	0	43	43
OG0000206	4	12	2	1	19	4	42
OG0000207	3	22	8	2	6	1	42
OG0000208	5	11	0	0	6	20	42
OG0000209	1	5	35	1	0	0	42
OG0000210	1	10	18	1	11	1	42
OG0000211	0	42	0	0	0	0	42
OG0000212	0	41	1	0	0	0	42
OG0000213	0	19	16	1	4	2	42
OG0000214	0	22	12	6	0	2	42
OG0000215	0	42	0	0	0	0	42
OG0000216	0	0	41	0	0	1	42
OG0000217	0	0	0	0	0	42	42
OG0000218	0	0	0	0	0	42	42
OG0000219	41	0	0	0	0	0	41
OG0000220	41	0	0	0	0	0	41
OG0000221	5	11	12	2	8	3	41
OG0000222	1	0	37	1	0	2	41
OG0000223	1	1	36	2	0	1	41
OG0000224	2	32	0	0	0	7	41
OG0000225	1	0	22	1	16	1	41
OG0000226	1	28	7	1	1	3	41
OG0000227	0	33	2	0	0	6	41
OG0000228	0	41	0	0	0	0	41
OG0000229	0	0	41	0	0	0	41
OG0000230	0	0	41	0	0	0	41
OG0000231	0	0	41	0	0	0	41
OG0000232	0	0	41	0	0	0	41
OG0000233	0	0	41	0	0	0	41
OG0000234	0	0	41	0	0	0	41
OG0000235	0	0	41	0	0	0	41
OG0000236	0	0	41	0	0	0	41
OG0000237	0	0	41	0	0	0	41
OG0000238	0	0	0	0	41	0	41
OG0000239	0	0	0	0	0	41	41
OG0000240	0	0	0	0	0	41	41
OG0000241	4	6	12	11	4	3	40
OG0000242	3	2	23	11	0	1	40
OG0000243	5	6	6	3	5	15	40
OG0000244	5	5	2	5	8	15	40
OG0000245	2	4	22	3	7	2	40
OG0000246	4	28	0	0	4	4	40
OG0000247	9	9	4	1	15	2	40
OG0000248	1	16	13	3	4	3	40
OG0000249	0	40	0	0	0	0	40
OG0000250	0	40	0	0	0	0	40
OG0000251	0	0	38	1	0	1	40
OG0000252	0	0	40	0	0	0	40
OG0000253	0	0	40	0	0	0	40
OG0000254	0	0	0	40	0	0	40
OG0000255	0	0	0	0	40	0	40
OG0000256	39	0	0	0	0	0	39
OG0000257	39	0	0	0	0	0	39
OG0000258	4	5	11	1	14	4	39
OG0000259	2	12	12	7	2	4	39
OG0000260	2	8	13	4	7	5	39
OG0000261	1	25	1	1	5	6	39
OG0000262	0	39	0	0	0	0	39
OG0000263	0	39	0	0	0	0	39
OG0000264	0	39	0	0	0	0	39
OG0000265	0	39	0	0	0	0	39
OG0000266	0	0	39	0	0	0	39
OG0000267	0	0	38	0	0	1	39
OG0000268	0	0	39	0	0	0	39
OG0000269	0	0	39	0	0	0	39
OG0000270	0	0	39	0	0	0	39
OG0000271	0	0	39	0	0	0	39
OG0000272	0	0	39	0	0	0	39
OG0000273	0	0	39	0	0	0	39
OG0000274	0	0	39	0	0	0	39
OG0000275	0	0	0	0	39	0	39
OG0000276	37	1	0	0	0	0	38
OG0000277	5	24	4	2	1	2	38
OG0000278	3	18	6	5	5	1	38
OG0000279	16	19	0	3	0	0	38
OG0000280	38	0	0	0	0	0	38
OG0000281	2	0	11	1	21	3	38
OG0000282	1	0	24	2	5	6	38
OG0000283	1	0	1	1	0	35	38
OG0000284	1	7	28	0	2	0	38
OG0000285	0	38	0	0	0	0	38
OG0000286	0	38	0	0	0	0	38
OG0000287	0	37	0	0	0	1	38
OG0000288	0	38	0	0	0	0	38
OG0000289	0	38	0	0	0	0	38
OG0000290	0	2	18	2	0	16	38
OG0000291	0	1	36	0	0	1	38
OG0000292	0	0	38	0	0	0	38
OG0000293	0	0	38	0	0	0	38
OG0000294	0	0	38	0	0	0	38
OG0000295	0	0	38	0	0	0	38
OG0000296	0	0	38	0	0	0	38
OG0000297	0	0	38	0	0	0	38
OG0000298	0	0	0	38	0	0	38
OG0000299	0	0	0	38	0	0	38
OG0000300	0	0	0	0	38	0	38
OG0000301	37	0	0	0	0	0	37
OG0000302	7	7	6	5	6	6	37
OG0000303	37	0	0	0	0	0	37
OG0000304	5	15	3	4	5	5	37
OG0000305	4	7	0	4	21	1	37
OG0000306	3	14	9	3	4	4	37
OG0000307	3	26	0	3	1	4	37
OG0000308	1	27	5	1	2	1	37
OG0000309	1	0	16	1	16	3	37
OG0000310	1	7	23	1	4	1	37
OG0000311	1	24	8	1	2	1	37
OG0000312	0	37	0	0	0	0	37
OG0000313	0	37	0	0	0	0	37
OG0000314	0	37	0	0	0	0	37
OG0000315	0	30	0	1	6	0	37
OG0000316	0	37	0	0	0	0	37
OG0000317	0	28	1	0	8	0	37
OG0000318	0	6	22	0	4	5	37
OG0000319	0	1	8	2	23	3	37
OG0000320	0	0	34	1	0	2	37
OG0000321	0	0	37	0	0	0	37
OG0000322	0	0	37	0	0	0	37
OG0000323	0	0	37	0	0	0	37
OG0000324	0	0	37	0	0	0	37
OG0000325	0	0	0	0	37	0	37
OG0000326	0	0	0	0	0	37	37
OG0000327	0	0	0	0	0	37	37
OG0000328	36	0	0	0	0	0	36
OG0000329	36	0	0	0	0	0	36
OG0000330	1	16	17	1	0	1	36
OG0000331	1	25	8	1	0	1	36
OG0000332	1	32	1	1	1	0	36
OG0000333	3	7	19	4	0	3	36
OG0000334	1	1	22	2	8	2	36
OG0000335	1	3	26	1	4	1	36
OG0000336	1	0	12	3	12	8	36
OG0000337	1	23	4	1	6	1	36
OG0000338	1	0	35	0	0	0	36
OG0000339	0	36	0	0	0	0	36
OG0000340	0	36	0	0	0	0	36
OG0000341	0	0	36	0	0	0	36
OG0000342	0	0	36	0	0	0	36
OG0000343	0	0	36	0	0	0	36
OG0000344	0	0	36	0	0	0	36
OG0000345	0	0	0	36	0	0	36
OG0000346	0	0	0	0	36	0	36
OG0000347	0	0	0	0	0	36	36
OG0000348	0	0	0	0	0	36	36
OG0000349	35	0	0	0	0	0	35
OG0000350	35	0	0	0	0	0	35
OG0000351	35	0	0	0	0	0	35
OG0000352	35	0	0	0	0	0	35
OG0000353	4	21	10	0	0	0	35
OG0000354	1	13	15	1	2	3	35
OG0000355	1	15	6	1	11	1	35
OG0000356	1	6	12	5	6	5	35
OG0000357	3	0	10	17	2	3	35
OG0000358	3	22	5	3	2	0	35
OG0000359	1	9	20	1	3	1	35
OG0000360	1	21	8	1	4	0	35
OG0000361	2	19	3	7	3	1	35
OG0000362	0	35	0	0	0	0	35
OG0000363	0	35	0	0	0	0	35
OG0000364	0	35	0	0	0	0	35
OG0000365	0	35	0	0	0	0	35
OG0000366	0	35	0	0	0	0	35
OG0000367	0	35	0	0	0	0	35
OG0000368	0	35	0	0	0	0	35
OG0000369	0	34	0	1	0	0	35
OG0000370	0	17	1	0	14	3	35
OG0000371	0	31	0	0	1	3	35
OG0000372	0	35	0	0	0	0	35
OG0000373	0	1	12	1	19	2	35
OG0000374	0	0	35	0	0	0	35
OG0000375	0	0	35	0	0	0	35
OG0000376	0	0	35	0	0	0	35
OG0000377	0	0	35	0	0	0	35
OG0000378	0	0	22	1	8	4	35
OG0000379	0	0	35	0	0	0	35
OG0000380	0	0	35	0	0	0	35
OG0000381	0	0	35	0	0	0	35
OG0000382	0	0	35	0	0	0	35
OG0000383	0	0	35	0	0	0	35
OG0000384	0	0	0	21	13	1	35
OG0000385	0	0	0	35	0	0	35
OG0000386	0	0	0	0	35	0	35
OG0000387	0	0	0	0	35	0	35
OG0000388	0	0	0	0	35	0	35
OG0000389	0	0	0	0	0	35	35
OG0000390	0	0	0	0	0	35	35
OG0000391	11	23	0	0	0	0	34
OG0000392	5	9	6	1	11	2	34
OG0000393	1	20	11	2	0	0	34
OG0000394	1	8	16	3	4	2	34
OG0000395	1	3	27	2	0	1	34
OG0000396	0	34	0	0	0	0	34
OG0000397	0	34	0	0	0	0	34
OG0000398	0	34	0	0	0	0	34
OG0000399	0	34	0	0	0	0	34
OG0000400	0	34	0	0	0	0	34
OG0000401	0	34	0	0	0	0	34
OG0000402	0	34	0	0	0	0	34
OG0000403	0	1	32	1	0	0	34
OG0000404	0	0	34	0	0	0	34
OG0000405	0	0	34	0	0	0	34
OG0000406	0	0	34	0	0	0	34
OG0000407	0	0	16	2	14	2	34
OG0000408	0	0	34	0	0	0	34
OG0000409	0	0	34	0	0	0	34
OG0000410	0	0	34	0	0	0	34
OG0000411	0	0	34	0	0	0	34
OG0000412	0	0	34	0	0	0	34
OG0000413	0	0	34	0	0	0	34
OG0000414	0	0	34	0	0	0	34
OG0000415	0	0	34	0	0	0	34
OG0000416	0	0	34	0	0	0	34
OG0000417	0	0	34	0	0	0	34
OG0000418	0	0	34	0	0	0	34
OG0000419	0	0	34	0	0	0	34
OG0000420	0	0	34	0	0	0	34
OG0000421	0	0	0	34	0	0	34
OG0000422	0	0	0	0	34	0	34
OG0000423	0	0	0	0	34	0	34
OG0000424	0	0	0	0	0	34	34
OG0000425	33	0	0	0	0	0	33
OG0000426	33	0	0	0	0	0	33
OG0000427	17	11	2	3	0	0	33
OG0000428	33	0	0	0	0	0	33
OG0000429	2	15	11	0	5	0	33
OG0000430	2	9	21	0	1	0	33
OG0000431	1	26	3	0	0	3	33
OG0000432	2	7	4	3	16	1	33
OG0000433	0	33	0	0	0	0	33
OG0000434	0	33	0	0	0	0	33
OG0000435	0	33	0	0	0	0	33
OG0000436	0	33	0	0	0	0	33
OG0000437	0	33	0	0	0	0	33
OG0000438	0	33	0	0	0	0	33
OG0000439	0	33	0	0	0	0	33
OG0000440	0	3	13	1	6	10	33
OG0000441	0	13	0	0	7	13	33
OG0000442	0	33	0	0	0	0	33
OG0000443	0	26	0	7	0	0	33
OG0000444	0	33	0	0	0	0	33
OG0000445	0	2	25	4	0	2	33
OG0000446	0	8	0	1	2	22	33
OG0000447	0	2	12	2	12	5	33
OG0000448	0	0	33	0	0	0	33
OG0000449	0	0	33	0	0	0	33
OG0000450	0	0	32	0	0	1	33
OG0000451	0	0	28	0	2	3	33
OG0000452	0	0	33	0	0	0	33
OG0000453	0	0	5	1	26	1	33
OG0000454	0	0	33	0	0	0	33
OG0000455	0	0	0	33	0	0	33
OG0000456	0	0	0	0	33	0	33
OG0000457	0	0	0	0	33	0	33
OG0000458	0	0	0	0	33	0	33
OG0000459	0	0	0	0	33	0	33
